ID,クイズジャンル,クイズ難易度,クイズタイトル,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号
1,4Choice,1,クイズタイトル1番,クイズ1番問題文,クイズ1選択肢選択肢1,クイズ1選択肢選択肢2,クイズ1選択肢選択肢3,クイズ1選択肢選択肢4,4
2,4Choice,1,クイズタイトル2番,クイズ2番問題文,クイズ2選択肢選択肢1,クイズ2選択肢選択肢2,クイズ2選択肢選択肢3,クイズ2選択肢選択肢4,2
3,4Choice,1,クイズタイトル3番,クイズ3番問題文,クイズ3選択肢選択肢1,クイズ3選択肢選択肢2,クイズ3選択肢選択肢3,クイズ3選択肢選択肢4,3
4,4Choice,1,クイズタイトル4番,クイズ4番問題文,クイズ4選択肢選択肢1,クイズ4選択肢選択肢2,クイズ4選択肢選択肢3,クイズ4選択肢選択肢4,4
5,4Choice,1,クイズタイトル5番,クイズ5番問題文,クイズ5選択肢選択肢1,クイズ5選択肢選択肢2,クイズ5選択肢選択肢3,クイズ5選択肢選択肢4,3
6,4Choice,1,クイズタイトル6番,クイズ6番問題文,クイズ6選択肢選択肢1,クイズ6選択肢選択肢2,クイズ6選択肢選択肢3,クイズ6選択肢選択肢4,1
7,4Choice,1,クイズタイトル7番,クイズ7番問題文,クイズ7選択肢選択肢1,クイズ7選択肢選択肢2,クイズ7選択肢選択肢3,クイズ7選択肢選択肢4,4
8,4Choice,2,クイズタイトル8番,クイズ8番問題文,クイズ8選択肢選択肢1,クイズ8選択肢選択肢2,クイズ8選択肢選択肢3,クイズ8選択肢選択肢4,2
9,4Choice,2,クイズタイトル9番,クイズ9番問題文,クイズ9選択肢選択肢1,クイズ9選択肢選択肢2,クイズ9選択肢選択肢3,クイズ9選択肢選択肢4,2
10,4Choice,2,クイズタイトル10番,クイズ10番問題文,クイズ10選択肢選択肢1,クイズ10選択肢選択肢2,クイズ10選択肢選択肢3,クイズ10選択肢選択肢4,3
11,4Choice,2,クイズタイトル11番,クイズ11番問題文,クイズ11選択肢選択肢1,クイズ11選択肢選択肢2,クイズ11選択肢選択肢3,クイズ11選択肢選択肢4,4
12,4Choice,2,クイズタイトル12番,クイズ12番問題文,クイズ12選択肢選択肢1,クイズ12選択肢選択肢2,クイズ12選択肢選択肢3,クイズ12選択肢選択肢4,3
13,4Choice,2,クイズタイトル13番,クイズ13番問題文,クイズ13選択肢選択肢1,クイズ13選択肢選択肢2,クイズ13選択肢選択肢3,クイズ13選択肢選択肢4,2
14,4Choice,2,クイズタイトル14番,クイズ14番問題文,クイズ14選択肢選択肢1,クイズ14選択肢選択肢2,クイズ14選択肢選択肢3,クイズ14選択肢選択肢4,4
15,4Choice,3,クイズタイトル15番,クイズ15番問題文,クイズ15選択肢選択肢1,クイズ15選択肢選択肢2,クイズ15選択肢選択肢3,クイズ15選択肢選択肢4,4
16,4Choice,3,クイズタイトル16番,クイズ16番問題文,クイズ16選択肢選択肢1,クイズ16選択肢選択肢2,クイズ16選択肢選択肢3,クイズ16選択肢選択肢4,4
17,4Choice,3,クイズタイトル17番,クイズ17番問題文,クイズ17選択肢選択肢1,クイズ17選択肢選択肢2,クイズ17選択肢選択肢3,クイズ17選択肢選択肢4,2
18,4Choice,3,クイズタイトル18番,クイズ18番問題文,クイズ18選択肢選択肢1,クイズ18選択肢選択肢2,クイズ18選択肢選択肢3,クイズ18選択肢選択肢4,4
19,4Choice,3,クイズタイトル19番,クイズ19番問題文,クイズ19選択肢選択肢1,クイズ19選択肢選択肢2,クイズ19選択肢選択肢3,クイズ19選択肢選択肢4,4
20,4Choice,3,クイズタイトル20番,クイズ20番問題文,クイズ20選択肢選択肢1,クイズ20選択肢選択肢2,クイズ20選択肢選択肢3,クイズ20選択肢選択肢4,2
21,4Choice,3,クイズタイトル21番,クイズ21番問題文,クイズ21選択肢選択肢1,クイズ21選択肢選択肢2,クイズ21選択肢選択肢3,クイズ21選択肢選択肢4,1